Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
7f6aa821013b,487,294,193,0.000999997,0.022,0.002790554,0.002167206,1,0.396303901,0.603696099
7fa2ba21413b,487,288,199,0.000999997,0.024000001,0.002841889,0.002229998,1,0.40862423,0.59137577
7f0baa23013b,487,282,205,0.000999997,0.034999997,0.003016427,0.002822553,1,0.420944559,0.579055441
7f3df8ce613b,487,282,205,0.000999997,0.024999998,0.002911704,0.002473399,1,0.420944559,0.579055441
7f6aa820fa0b,2,1,1,0.001,0.014000001,0.007500001,0.009192389,1,0.5,0.5
7f0baa22fa0b,2,1,1,0.001999997,0.012,0.006999999,0.00707107,1,0.5,0.5
7f3df8ce5a0b,2,1,1,0.002000001,0.012,0.007000001,0.007071068,1,0.5,0.5
7f840f489a0b,2,1,1,0.002000001,0.016000002,0.009000001,0.009899496,1,0.5,0.5
7fa2ba213a0b,2,1,1,0.001,0.026999998,0.013999999,0.018384775,1,0.5,0.5
7f840f489519,117,106,11,0.000999997,0.026000002,0.001871795,0.002343511,0.5,0.094017094,0.405982906
7f6aa82154fc,5,2,3,0.004000001,0.021,0.009200001,0.006978538,1,0.6,0.4
7f3df8ceb4fc,5,2,3,0.002999997,0.016999998,0.008,0.005744563,1,0.6,0.4
7f840f48f4fc,5,2,3,0.002999997,0.021,0.0112,0.007949843,1,0.6,0.4
7fa2ba2194fc,5,2,3,0.003000001,0.016999998,0.008,0.00552268,1,0.6,0.4
7f840f91fd39,92,86,6,0.000999997,0.019999999,0.001793478,0.002008433,0.4,0.065217391,0.334782609
7f703002b45b,1479,834,645,0.000999997,0.029999999,0.001631508,0.001602217,0.75,0.436105477,0.313894523
7fa2ba65d45b,392,314,78,0,0.025999998,0.001265306,0.001759452,0.416666667,0.198979592,0.217687075
7f3df9128839,49,9,40,0.001,0.007999999,0.002530612,0.001515228,1,0.816326531,0.183673469
7f6aa865945b,399,47,352,0,0.004000001,0.001155388,0.000658088,1,0.882205514,0.117794486
7f6aa820f519,120,109,11,0.000999997,0.022,0.001991667,0.002402715,0.2,0.091666667,0.108333333
7f840f8d345b,392,35,357,0,0.014000001,0.001165816,0.000993871,1,0.910714286,0.089285714
7f3df912f45b,392,31,361,0,0.006000002,0.001142857,0.000631646,1,0.920918367,0.079081633
7f3df8ceb34b,19,17,2,0.001,0.027000002,0.004052632,0.007276093,0.133333333,0.105263158,0.028070175
7f0baa67945b,394,382,12,0,0.045000001,0.001604061,0.003164785,0.054794521,0.030456853,0.024337668
7f702fbec73d,16488,16358,130,0,99782.628,98.00356605,1391.685272,0.018652455,0.007884522,0.010767933
7f702dc11e99,15,13,2,0.000999997,13.208,1.713533334,4.232272133,0.142857143,0.133333333,0.00952381
7f0baa23a8e6,130,129,1,0.029999999,6.973,0.143615385,0.607851068,0.007751938,0.007692308,5.96E-05
7f7030020609,190674,190371,303,0,63291.822,9.150051082,408.7953497,0.0015891,0.0015891,0
7f702fbf46e4,6,0,6,0.01,0.016000002,0.012,0.002190891,1,1,0
7f703002b722,157,67,90,0,0.026999998,0.003535032,0.002964596,0.573248408,0.573248408,0
7f703002818d,12446,12432,14,0.000999997,5375.179,1.85571059,78.43346946,0.001124859,0.001124859,0
7f703002b7dc,656,629,27,0.001,1.529999998,0.030001524,0.062721571,0.041158537,0.041158537,0
