Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
7f14778063b3,4991,4981,10,0,20516.421,14.61039451,461.9552335,0,0.002003606,-0.002003606
564f605980d6,464,463,1,0,2189.187,5.046491379,101.6407867,0,0.002155172,-0.002155172
7f14717d10ba,461,460,1,0,2116.915,4.974639913,98.62905495,0,0.002169197,-0.002169197
7f14766d2419,459,458,1,0,2116.915,4.985897603,98.84389507,0,0.002178649,-0.002178649
7f147652f5a1,459,458,1,0,2116.915,4.985897603,98.84389507,0,0.002178649,-0.002178649
7f147685bbe8,1290,1287,3,0,1516.775,2.50898062,58.20304526,0,0.002325581,-0.002325581
7f14766d2e85,379,378,1,0,2116.915,5.909472296,108.7483815,0,0.002638522,-0.002638522
7f14753275db,4121,4110,11,0,349.9,0.166842757,5.583369902,0,0.002669255,-0.002669255
7f14709808a6,358,357,1,0.000999999,17512.69,48.94096369,925.5732943,0,0.002793296,-0.002793296
7f147098abdd,358,357,1,0.000999999,17512.69,48.94096369,925.5732943,0,0.002793296,-0.002793296
7f14753299f8,1049,1046,3,0.002999999,43.657,0.092975215,1.832000921,0,0.002859867,-0.002859867
7f14710e5df4,348,347,1,0,18522.585,67.8774454,994.49049,0,0.002873563,-0.002873563
7f147655297c,339,338,1,0.000999999,2189.187,7.844787611,119.1016113,0,0.002949853,-0.002949853
7f14766d60c8,321,320,1,0,2116.915,6.792875389,118.1592345,0,0.003115265,-0.003115265
7f147676e507,315,314,1,0.000999999,2116.915,6.922146032,119.2790429,0,0.003174603,-0.003174603
564f6059e45c,791,788,3,0,2189.187,5.236791403,86.13543076,0,0.003792668,-0.003792668
564f605af6c0,791,788,3,0,2189.187,5.236791403,86.13543076,0,0.003792668,-0.003792668
7f147657ba01,785,782,3,0,2189.187,5.276803822,86.46318032,0,0.003821656,-0.003821656
7f1476554618,785,782,3,0,2189.187,5.276803822,86.46318032,0,0.003821656,-0.003821656
7f147653c72c,785,782,3,0,2189.187,5.276803822,86.46318032,0,0.003821656,-0.003821656
7f1470982b93,260,259,1,0.000999999,1626.458,6.677796154,100.9173829,0,0.003846154,-0.003846154
7f147ab26a7b,1549,1543,6,0.002999999,58.962,0.114307941,1.881725858,0,0.003873467,-0.003873467
7f1476da5cfe,510,508,2,0.000999999,20516.421,48.07961961,924.0252067,0,0.003921569,-0.003921569
7f14710f1e6a,696,693,3,0,18522.585,41.79677299,715.1735471,0,0.004310345,-0.004310345
7f14710ea2ba,696,693,3,0,18522.585,41.79677299,715.1735471,0,0.004310345,-0.004310345
7f147116a913,232,231,1,0,27.534,0.132181035,1.806954208,0,0.004310345,-0.004310345
7f147116bbd1,232,231,1,0,27.534,0.132181035,1.806954208,0,0.004310345,-0.004310345
7f147110228f,232,231,1,0,27.534,0.132181035,1.806954208,0,0.004310345,-0.004310345
7f1476da3e3c,448,446,2,0.000999999,20516.421,54.73295312,985.8422444,0,0.004464286,-0.004464286
564f6059b6c2,1749,1741,8,0,58.962,0.125329331,1.785053629,0,0.004574042,-0.004574042
7f147af5e839,1054,1049,5,0.000999999,18154.184,38.3178852,781.0219386,0,0.004743833,-0.004743833
7f1475329ab0,1003,998,5,0,349.9,0.570257228,11.15131201,0,0.004985045,-0.004985045
7f147685b28d,186,185,1,0.001,18154.184,97.75757527,1331.118674,0,0.005376344,-0.005376344
7f1476557cb9,536,533,3,0,2189.187,8.019826493,104.6116725,0,0.005597015,-0.005597015
7f14765527f1,536,533,3,0,2189.187,8.019826493,104.6116725,0,0.005597015,-0.005597015
7f147653a561,882,877,5,0,2189.187,6.062366213,81.94780292,0,0.005668934,-0.005668934
7f1476539690,882,877,5,0,2189.187,6.062366213,81.94780292,0,0.005668934,-0.005668934
7f14765935a4,882,877,5,0,2189.187,6.062366213,81.94780292,0,0.005668934,-0.005668934
7f1476553c54,882,877,5,0,2189.187,6.062366213,81.94780292,0,0.005668934,-0.005668934
7f1476552702,882,877,5,0,2189.187,6.062366213,81.94780292,0,0.005668934,-0.005668934
7f1476da670e,175,174,1,0,16959.918,96.92053143,1282.048783,0,0.005714286,-0.005714286
7f1476db87b5,175,174,1,0,16959.918,96.92053143,1282.048783,0,0.005714286,-0.005714286
7f1476e1f4a4,175,174,1,0,16959.918,96.92053143,1282.048783,0,0.005714286,-0.005714286
7f1474f3a35f,5155,5125,30,0,467.988,0.347310184,8.496890089,0,0.005819593,-0.005819593
7f147653dd14,848,843,5,0,2189.187,6.215514151,83.56321693,0,0.005896226,-0.005896226
7f1476553647,848,843,5,0,2189.187,6.215514151,83.56321693,0,0.005896226,-0.005896226
7f147655946a,848,843,5,0,2189.187,6.215514151,83.56321693,0,0.005896226,-0.005896226
7f147654d4f7,848,843,5,0,2189.187,6.215514151,83.56321693,0,0.005896226,-0.005896226
7f1476552eaf,848,843,5,0,2189.187,6.215514151,83.56321693,0,0.005896226,-0.005896226
7f147ab2099f,332,330,2,0,18410.769,65.59270783,1011.975425,0,0.006024096,-0.006024096
7f1470982f29,163,162,1,0.000999999,1626.458,10.12758896,127.3902595,0,0.006134969,-0.006134969
7f14765d3e00,156,155,1,0,16959.918,109.8137756,1357.79925,0,0.006410256,-0.006410256
7f14766e69b0,156,155,1,0,16959.918,109.8137756,1357.79925,0,0.006410256,-0.006410256
7f14766e8c50,156,155,1,0,16959.918,109.8137756,1357.79925,0,0.006410256,-0.006410256
7f1476653fb0,156,155,1,0,16959.918,109.8137756,1357.79925,0,0.006410256,-0.006410256
7f147683cfc7,156,155,1,0,16959.918,109.8137756,1357.79925,0,0.006410256,-0.006410256
7f147098af56,6769,6725,44,0,2116.915,1.434209337,35.85684786,0,0.006500222,-0.006500222
7f14777550eb,1936,1923,13,0,2189.187,3.821195248,59.0279957,0,0.006714876,-0.006714876
7f1477758fe1,1936,1923,13,0,2189.187,3.821195248,59.0279957,0,0.006714876,-0.006714876
7f1477759f00,1936,1923,13,0,2189.187,3.821195248,59.0279957,0,0.006714876,-0.006714876
7f1477754390,1936,1923,13,0,2189.187,3.821195248,59.0279957,0,0.006714876,-0.006714876
7f1477756600,1936,1923,13,0,2189.187,3.821195248,59.0279957,0,0.006714876,-0.006714876
7f1477753e5b,1936,1923,13,0,2189.187,3.821195248,59.0279957,0,0.006714876,-0.006714876
7f1476539d21,734,729,5,0,2189.187,6.832784741,89.74301462,0,0.006811989,-0.006811989
7f14765399d0,734,729,5,0,2189.187,6.832784741,89.74301462,0,0.006811989,-0.006811989
7f14765934b4,734,729,5,0,2189.187,6.832784741,89.74301462,0,0.006811989,-0.006811989
7f1476553a84,734,729,5,0,2189.187,6.832784741,89.74301462,0,0.006811989,-0.006811989
7f1476558930,734,729,5,0,2189.187,6.832784741,89.74301462,0,0.006811989,-0.006811989
7f147098ae22,286,284,2,0.000999999,43.457,0.304283217,3.557865198,0,0.006993007,-0.006993007
7f9ea1478f68,143,142,1,0.001,29.016,0.208041958,2.426009367,0,0.006993007,-0.006993007
7f147775619a,1082,1074,8,0,2189.187,4.983103512,74.01609133,0,0.007393715,-0.007393715
7f14711020ad,269,267,2,0,27.534,0.149929368,1.77280766,0,0.007434944,-0.007434944
7f1471168243,269,267,2,0,27.534,0.149929368,1.77280766,0,0.007434944,-0.007434944
7f1476553383,1066,1058,8,0,2189.187,5.056229831,74.56756462,0,0.00750469,-0.00750469
7f1476553002,1066,1058,8,0,2189.187,5.056229831,74.56756462,0,0.00750469,-0.00750469
7f147097cde4,216,214,2,0.000999999,43.457,0.402069444,4.091514898,0,0.009259259,-0.009259259
7f1470977113,216,214,2,0.000999999,43.457,0.402069444,4.091514898,0,0.009259259,-0.009259259
7f1470976269,216,214,2,0.000999999,43.457,0.402069444,4.091514898,0,0.009259259,-0.009259259
7f14709764c8,216,214,2,0.000999999,43.457,0.402069444,4.091514898,0,0.009259259,-0.009259259
7f147af653cc,417,413,4,0,14.025,0.094544365,0.884578308,0,0.009592326,-0.009592326
7f1476e1e248,104,103,1,0,16959.918,163.0825,1663.056155,0,0.009615385,-0.009615385
7f1476dce48c,104,103,1,0,16959.918,163.0825,1663.056155,0,0.009615385,-0.009615385
7f1476daad19,104,103,1,0,16959.918,163.0825,1663.056155,0,0.009615385,-0.009615385
7f1476cffba2,104,103,1,0,16959.918,163.0825,1663.056155,0,0.009615385,-0.009615385
7f1471169498,2387,2364,23,0,1018.937,0.989703393,21.43638036,0,0.009635526,-0.009635526
7f1470977545,207,205,2,0.000999999,43.457,0.413811594,4.178925996,0,0.009661836,-0.009661836
7f147350b70c,204,202,2,0,27.534,0.219759804,2.171637458,0,0.009803922,-0.009803922
7f1478b4304e,99,98,1,0.000999999,14.025,0.14379798,1.409349836,0,0.01010101,-0.01010101
7f147388da09,288,285,3,0.000999999,43.457,0.401826389,3.920488685,0,0.010416667,-0.010416667
7f147525ecb5,288,285,3,0.000999999,43.457,0.401826389,3.920488685,0,0.010416667,-0.010416667
7f1475344e39,288,285,3,0.000999999,43.457,0.401826389,3.920488685,0,0.010416667,-0.010416667
7f1475345574,288,285,3,0.000999999,43.457,0.401826389,3.920488685,0,0.010416667,-0.010416667
7f14753458cf,286,283,3,0.000999999,43.457,0.400730769,3.933936201,0,0.01048951,-0.01048951
564f605965ef,286,283,3,0.000999999,43.457,0.400730769,3.933936201,0,0.01048951,-0.01048951
7f147af65170,370,366,4,0,3432.956,41.72952432,204.7223461,0,0.010810811,-0.010810811
7f147116808c,271,268,3,0,27.534,0.202169742,1.968428068,0,0.011070111,-0.011070111
7f14711620db,270,267,3,0,27.534,0.202888889,1.972047796,0,0.011111111,-0.011111111
7f1474f39c7e,5185,5126,59,0,467.988,0.630928833,9.519495286,0,0.011378978,-0.011378978
7f1471170dfd,262,259,3,0,27.534,0.208812977,2.001745581,0,0.011450382,-0.011450382
7f14750db825,5233,5172,61,0,467.988,0.644088095,9.521729978,0,0.011656793,-0.011656793
7f14750da51d,5232,5171,61,0,467.988,0.64420948,9.52263601,0,0.011659021,-0.011659021
7f14717d0fe8,169,167,2,0,26.742,0.206142012,2.066532351,0,0.01183432,-0.01183432
7f14709814bf,84,83,1,0.001999999,18154.184,216.7482976,1980.717563,0,0.011904762,-0.011904762
7f1470977512,79,78,1,0.000999999,1.101,0.017291139,0.123530662,0,0.012658228,-0.012658228
7f1471168cc2,79,78,1,0.000999999,1.101,0.017291139,0.123530662,0,0.012658228,-0.012658228
7f147af61376,370,365,5,0,21093.819,315.948373,2241.139519,0,0.013513514,-0.013513514
7f1471168d13,209,206,3,0.000999999,43.457,0.547177033,4.596177947,0,0.014354067,-0.014354067
7f147669d728,66,65,1,0,1516.775,26.21093939,186.7766515,0,0.015151515,-0.015151515
7f1475329b5d,1034,1017,17,0,467.988,1.066561896,15.33737972,0,0.016441006,-0.016441006
7f14753275f7,1034,1017,17,0,467.988,1.066561896,15.33737972,0,0.016441006,-0.016441006
7f147685f30d,57,56,1,0.002999999,15.712,0.314596491,2.076880248,0,0.01754386,-0.01754386
7f147157e0b5,55,54,1,0.000999999,9.672,0.180927273,1.303482058,0,0.018181818,-0.018181818
564f60598c7d,220,216,4,0,8.336999999,0.193472727,0.632412049,0,0.018181818,-0.018181818
7f147166a4d4,54,53,1,0.000999999,9.672,0.184185185,1.315495546,0,0.018518519,-0.018518519
7f14711318fa,308,302,6,0.000999999,92.197,0.91511039,7.47184804,0,0.019480519,-0.019480519
7f14711251e1,308,302,6,0.000999999,92.197,0.91511039,7.47184804,0,0.019480519,-0.019480519
7f14710e59f1,304,298,6,0.000999999,92.197,0.927101974,7.520266897,0,0.019736842,-0.019736842
7f147af617d1,252,247,5,0,19798.815,367.1390714,2352.978376,0,0.01984127,-0.01984127
7f14710f6022,301,295,6,0.000999999,92.197,0.931770764,7.557559412,0,0.019933555,-0.019933555
7f147685a2d9,49,48,1,0.001999999,8.471000001,0.196428571,1.209518517,0,0.020408163,-0.020408163
7f147685fd12,49,48,1,0.001999999,8.471000001,0.196428571,1.209518517,0,0.020408163,-0.020408163
7f1470982f4f,97,95,2,0.000999999,43.457,0.88072165,6.087616032,0,0.020618557,-0.020618557
7f147514b591,96,94,2,0.000999999,43.457,0.889822917,6.118908811,0,0.020833333,-0.020833333
7f14738a55d3,96,94,2,0.000999999,43.457,0.889822917,6.118908811,0,0.020833333,-0.020833333
7f1470ae3fe9,44,43,1,0,1018.937,23.16081818,153.6100452,0,0.022727273,-0.022727273
7f1470ae4ded,44,43,1,0,1018.937,23.16081818,153.6100452,0,0.022727273,-0.022727273
7f1470977e83,43,42,1,0.002000001,9.489,0.229069767,1.445762517,0,0.023255814,-0.023255814
7f147098068d,43,42,1,0.002000001,9.489,0.229069767,1.445762517,0,0.023255814,-0.023255814
7f14709806af,41,40,1,0.001999999,18154.184,442.7906098,2835.206307,0,0.024390244,-0.024390244
7f1471124de6,40,39,1,0,18522.585,583.487425,2913.956645,0,0.025,-0.025
7f147166948a,40,39,1,0.000999999,9.672,0.245775,1.528637075,0,0.025,-0.025
7f1471669b61,40,39,1,0.000999999,9.672,0.245775,1.528637075,0,0.025,-0.025
7f147110225c,37,36,1,0.002000001,9.489,0.261216216,1.55917881,0,0.027027027,-0.027027027
7f147685f360,37,36,1,0,1516.775,42.12559459,249.171085,0,0.027027027,-0.027027027
7f1476dcf5ce,36,35,1,0.001,0.563,0.02225,0.092884683,0,0.027777778,-0.027777778
7f1476daa336,36,35,1,0.001,0.563,0.02225,0.092884683,0,0.027777778,-0.027777778
7f1476cffdf5,36,35,1,0.001,0.563,0.02225,0.092884683,0,0.027777778,-0.027777778
7f1476dcee9e,36,35,1,0.002000001,55.168,1.539666667,9.193430884,0,0.027777778,-0.027777778
7f1476daa49f,36,35,1,0.002000001,55.168,1.539666667,9.193430884,0,0.027777778,-0.027777778
7f147160f23c,35,34,1,0,106.9,4.894971429,18.23030752,0,0.028571429,-0.028571429
7f1471559df6,35,34,1,0,106.9,4.894971429,18.23030752,0,0.028571429,-0.028571429
7f147155f293,35,34,1,0,106.9,4.894971429,18.23030752,0,0.028571429,-0.028571429
7f1471166397,35,34,1,0,106.9,4.894971429,18.23030752,0,0.028571429,-0.028571429
7f147116566a,35,34,1,0,106.9,4.894971429,18.23030752,0,0.028571429,-0.028571429
7f14766d3199,69,67,2,0,47.28,1.176637681,6.869853496,0,0.028985507,-0.028985507
564f605980bb,232,225,7,0,55.029,0.804948276,4.597194912,0,0.030172414,-0.030172414
7f14766d0c05,32,31,1,0,26.742,1.02734375,4.720219197,0,0.03125,-0.03125
7f14766a798c,93,90,3,0,23.214,0.684924731,2.894698968,0,0.032258065,-0.032258065
7f14766ae615,93,90,3,0,23.214,0.684924731,2.894698968,0,0.032258065,-0.032258065
7f14766a24d2,31,30,1,0,106.9,4.131290323,19.14874192,0,0.032258065,-0.032258065
7f147166e88f,30,29,1,0,106.9,5.709366667,19.617391,0,0.033333333,-0.033333333
7ffd79af7aed,88,85,3,0.000999999,0.099000001,0.002954545,0.010739239,0,0.034090909,-0.034090909
7f14766ed40a,29,28,1,0,106.9,5.906034483,19.93450776,0,0.034482759,-0.034482759
7f14710e49ac,26,25,1,0.000999999,1.968,0.078461539,0.38540184,0,0.038461538,-0.038461538
7f1470995d5f,23,22,1,0.001,1035.682,48.91930435,215.2031834,0,0.043478261,-0.043478261
7f147099aedb,23,22,1,0.001,1035.682,48.91930435,215.2031834,0,0.043478261,-0.043478261
7f147116c88c,45,43,2,0.002000001,22.664,0.72,3.631842063,0,0.044444444,-0.044444444
7f1471102acb,45,43,2,0.002000001,22.664,0.72,3.631842063,0,0.044444444,-0.044444444
7f1471102504,45,43,2,0.002000001,22.664,0.72,3.631842063,0,0.044444444,-0.044444444
7f1471165a1f,156,149,7,0,106.9,2.049474359,10.41880809,0,0.044871795,-0.044871795
7f147387da4e,22,21,1,0.002000001,0.254999999,0.015772727,0.053468221,0,0.045454545,-0.045454545
7f14710e50c1,21,20,1,0.001,3432.956,179.3247619,746.3026048,0,0.047619048,-0.047619048
564f605afbd9,1903,1811,92,0,123.916,2.029421965,10.27276625,0,0.048344719,-0.048344719
7f1476552db4,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f147654d6e6,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476553321,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f147654d5e7,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476559394,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476555789,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476554729,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476555722,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f14765546c4,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f14765592f4,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476539b6d,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476539597,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476593614,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1476553ab4,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f147655849e,452,430,22,0,99.034,1.605179204,8.323427896,0,0.048672566,-0.048672566
7f1471166044,161,153,8,0,106.9,2.32842236,11.08001458,0,0.049689441,-0.049689441
7f147673ac4a,20,19,1,0.001,16959.918,850.40325,3791.801485,0,0.05,-0.05
7f14710e5c95,20,19,1,0.000999999,1.968,0.10085,0.439492563,0,0.05,-0.05
7f14766a1462,20,19,1,0.000999999,30.365,1.82975,6.857911305,0,0.05,-0.05
7f147af660ed,563,482,81,0.000999999,0.048999998,0.003232682,0.004861154,0.092592593,0.143872114,-0.051279521
7f14765d3fbd,19,18,1,0.001,1336.831,70.36347368,306.689109,0,0.052631579,-0.052631579
7f14766e7230,19,18,1,0.001,1336.831,70.36347368,306.689109,0,0.052631579,-0.052631579
7f14766e8dd0,19,18,1,0.001,1336.831,70.36347368,306.689109,0,0.052631579,-0.052631579
7f1476653f00,19,18,1,0.001,1336.831,70.36347368,306.689109,0,0.052631579,-0.052631579
7f147683ced3,19,18,1,0.001,1336.831,70.36347368,306.689109,0,0.052631579,-0.052631579
7f147098adfa,38,36,2,0.000999999,247.808,14.14278947,43.5356743,0,0.052631579,-0.052631579
7f147669f74d,37,35,2,0.000999999,6.206,0.499324324,1.281103995,0,0.054054054,-0.054054054
7f14733a01dd,220,208,12,0,76.455,1.753018182,8.567180782,0,0.054545455,-0.054545455
7f14733a05da,220,208,12,0,76.455,1.753018182,8.567180782,0,0.054545455,-0.054545455
